,Country/Region,Province/State,Latitude,Longitude
150,US,"Travis, CA (From Diamond Princess)",38.2721,-121.9399
151,Mainland China,Hubei,,
152,Mainland China,Guangdong,,
153,Mainland China,Zhejiang,,
154,Mainland China,Henan,,
155,Mainland China,Hunan,,
156,Mainland China,Anhui,,
157,Mainland China,Jiangxi,,
158,Mainland China,Jiangsu,,
159,Mainland China,Chongqing,,
160,Mainland China,Shandong,,
161,Mainland China,Sichuan,,
162,Mainland China,Heilongjiang,,
163,Mainland China,Beijing,,
164,Mainland China,Shanghai,,
165,Mainland China,Fujian,,
166,Mainland China,Hebei,,
167,Mainland China,Shaanxi,,
168,Mainland China,Guangxi,,
169,Mainland China,Yunnan,,
170,Mainland China,Hainan,,
171,Others,Diamond Princess cruise ship,,
172,Mainland China,Guizhou,,
173,Mainland China,Shanxi,,
174,Mainland China,Liaoning,,
175,Mainland China,Tianjin,,
176,Mainland China,Gansu,,
177,Mainland China,Jilin,,
178,Mainland China,Inner Mongolia,,
179,Mainland China,Xinjiang,,
180,Mainland China,Ningxia,,
181,Hong Kong,Hong Kong,,
182,Singapore,,,
183,Thailand,,,
184,South Korea,,,
185,Japan,,,
186,Mainland China,Qinghai,,
187,Malaysia,,,
188,Taiwan,Taiwan,,
189,Germany,,,
190,Vietnam,,,
191,France,,,
192,Macau,Macau,,
193,UK,,,
194,United Arab Emirates,,,
195,Australia,Queensland,,
196,Australia,New South Wales,,
197,Australia,Victoria,,
198,Canada,British Columbia,,
199,India,,,
200,Italy,,,
201,Philippines,,,
202,Australia,South Australia,,
203,Canada,"Toronto, ON",,
204,Russia,,,
205,Spain,,,
206,US,"Chicago, IL",,
207,US,"San Benito, CA",,
208,US,"Santa Clara, CA",,
209,Belgium,,,
210,Cambodia,,,
211,Canada,"London, ON",,
212,Finland,,,
213,Mainland China,Tibet,,
214,Nepal,,,
215,Sri Lanka,,,
216,Sweden,,,
217,US,"Boston, MA",,
218,US,"Los Angeles, CA",,
219,US,"Madison, WI",,
220,US,"Orange, CA",,
221,US,"San Diego County, CA",,
222,US,"Seattle, WA",,
223,US,"Tempe, AZ",,
264,Germany,Bavaria,,
268,US,Illinois,,
269,US,California,,
271,Canada,Ontario,,
276,US,Washington,,
277,US,Arizona,,
366,Others,Cruise Ship,,
485,Palestine,,31.9522,35.2332
486,US,"New York County, NY",40.7128,-74.006
503,Slovenia,,46.1512,14.9955
509,Poland,,51.9194,19.1451
513,US,"Unassigned Location, WA",47.7511,-120.7401
521,Saint Barthelemy,,17.9,-62.8333
522,US,"Contra Costa County, CA",37.8534,-121.9018
523,US,"Harris County, TX",29.7752,-95.3103
524,US,"Montgomery County, MD",39.1547,-77.2405
525,US,"Orange County, CA",33.7879,-117.8531
527,US,"Suffolk County, MA",42.3601,-71.0589
529,Bosnia and Herzegovina,,43.9159,17.6791
532,Hungary,,47.1625,19.5033
536,US,"Bergen County, NJ",40.9263,-74.077
537,US,"Denver County, CO",39.7392,-104.9903
545,US,"San Francisco County, CA",37.7749,-122.4194
547,US,"Summit County, CO",39.5912,-106.064
553,Bhutan,,27.5142,90.4336
555,Cameroon,,3.848,11.5021
556,Canada,"Calgary, Alberta",51.0447,-114.0719
558,Colombia,,4.5709,-74.2973
559,Costa Rica,,9.7489,-83.7534
560,Faroe Islands,,61.8926,-6.9118
561,Gibraltar,,36.1408,-5.3536
564,Liechtenstein,,47.14,9.55
570,Peru,,-9.19,-75.0152
571,Serbia,,44.0165,21.0059
572,Slovakia,,48.669,19.699
573,South Africa,,-30.5595,22.9375
575,Togo,,8.6195,0.8248
576,Tunisia,,34.0,9.0
578,US,"Chatham County, NC",35.7211,-79.1781
579,US,"Clark County, NV",36.0796,-115.094
580,US,"Delaware County, PA",39.9078,-75.3879
581,US,"Douglas County, NE",41.3148,-96.1951
582,US,"Fayette County, KY",38.0606,-84.4803
583,US,"Floyd County, GA",34.2829,-85.2308
584,US,"Fort Bend County, TX",29.5693,-95.8143
585,US,"Grant County, WA",47.1981,-119.3732
588,US,"Marion County, IN",39.8362,-86.1752
589,US,"Middlesex County, MA",42.4672,-71.2874
590,US,"Nassau County, NY",40.6546,-73.5594
591,US,"Norwell County, MA",42.1615,-70.7928
592,US,"Ramsey County, MN",44.9964,-93.0616
594,US,"Santa Rosa County, FL",30.769,-86.9824
600,US,"Washoe County, NV",40.5608,-119.6035
601,US,"Wayne County, PA",41.6739,-75.2479
602,US,"Williamson County, TN",35.9179,-86.8622
603,US,"Yolo County, CA",38.7646,-121.9018
605,Vatican City,,41.9029,12.4534
607,Australia,Northern Territory,-12.4634,130.8456
646,Iran,,,
655,US,"Omaha, NE (From Diamond Princess)",,
658,Australia,From Diamond Princess,,
661,US,"Travis, CA (From Diamond Princess)",,
671,US,"Lackland, TX (From Diamond Princess)",,
678,Egypt,,,
680,Israel,From Diamond Princess,,
681,Lebanon,,,
687,US,"Humboldt County, CA",,
691,US,"Sacramento County, CA",,
692,US,"San Antonio, TX",,
695,Iraq,None,,
814,Australia,,,
815,Mexico,,,
816,Brazil,,,
817,Colombia,,,
856,Kuwait,,,
857,US,Unassigned Location (From Diamond Princess),,
859,Bahrain,,,
869,Switzerland,,,
871,Iraq,,,
873,Norway,,,
876,Croatia,,,
879,Greece,,,
880,Israel,,,
881,Oman,,,
882,Austria,,,
885,Romania,,,
889,Pakistan,,,
896, Azerbaijan,,,
897,Afghanistan,,,
898,Algeria,,,
899,Belarus,,,
903,Canada," Montreal, QC",,
905,Denmark,,,
907,Estonia,,,
908,Georgia,,,
909,Iceland,,,
910,Lithuania,,,
914,Netherlands,,,
915,New Zealand,,,
916,Nigeria,,,
917,North Ireland,,,
918,North Macedonia,,,
919,San Marino,,,
1010,US,Chicago,,
1065,Ivory Coast,,,
1068,China,Hubei,30.9756,112.2707
1069,Italy,,41.8719,12.5674
1070,Iran,,32.4279,53.688
1071,Spain,,40.4637,-3.7492
1072,"Korea, South",,35.9078,127.7669
1073,Germany,,51.1657,10.4515
1074,France,France,46.2276,2.2137
1076,United Kingdom,United Kingdom,55.3781,-3.436
1077,Netherlands,Netherlands,52.1326,5.2913
1078,China,Guangdong,23.3417,113.4244
1080,China,Henan,33.882,113.614
1081,China,Zhejiang,29.1832,120.0934
1082,Sweden,,60.1282,18.6435
1083,Belgium,,50.5039,4.4699
1085,China,Hunan,27.6104,111.7088
1086,China,Anhui,31.8257,117.2264
1087,US,New York,42.1657,-74.9481
1088,China,Jiangxi,27.614,115.7221
1089,Denmark,Denmark,56.2639,9.5018
1090,US,Washington,47.4009,-121.4905
1091,Japan,,36.2048,138.2529
1092,China,Shandong,36.3427,118.1498
1093,Cruise Ship,Diamond Princess,35.4498,139.6649
1094,China,Jiangsu,32.9711,119.455
1095,China,Chongqing,30.0572,107.874
1096,Malaysia,,4.2105,101.9758
1097,US,California,36.1162,-119.6816
1098,China,Sichuan,30.6171,102.7103
1099,China,Heilongjiang,47.862,127.7615
1100,China,Beijing,40.1824,116.4142
1102,China,Shanghai,31.202,121.4491
